Item,Kind,Closed by,Holder,Where,Basis
Higher mobile internet use than the county (urban smartphone share ); constant WhatsApp business use; daily interaction with county…,Data needed,CA/KNBS urban/rural split,Communications Authority,Section 4.3.5,Sourced
TSC establishment for Kitui,Data needed,County Public Service Board staff return; Ministry of Health workforce data,Public-sector employers,Section 4.3.6,Sourced
Internet use by education level,Data needed,CA/KNBS 2023/24 tables,Communications Authority,Section 4.3.6,Sourced
"The Out-of-County Kamba Diaspora Matrix (Nairobi, Coast & Nationwide)",Data needed,"KNBS 2019 Census migration tables, set against the IEBC register by polling station",IEBC,Section 4.3.7,Sourced
Internet use in Nairobi and Mombasa,Data needed,CA/KNBS 2023/24 county tables,Communications Authority,Section 4.3.7,Sourced
Health insurance coverage,Data needed,KNBS county bulletin,KNBS,Section 4.4.6,Sourced
Child stunting,Data needed,KNBS Demographic and Health Survey,KNBS,Section 4.4.6,Sourced
Solid-fuel use,Data needed,"KNBS 2019 Census, Volume IV",KNBS,Section 4.4.6,Sourced
Which channel does which job,Data needed,Kitui listenership by station,Audience-research publishers,Section 4.6,Sourced
Fix first: six profile corrections,Data needed,"one screenshot of Meta Business Suite, or of the Professional dashboard, settles this. It takes five minutes and it gates the rest of the audit",His team: the Week 1 export,Section 4.7,Sourced
Workstream 7 — Ground-digital integration,Data needed,county transport department or NTSA registration by county,NTSA or the county transport department,Section 5.2.3.1,Sourced
Wiper NEC signed resolution: status,Data needed,Wiper NEC resolution,Wiper Patriotic Front secretariat,Figure fig-2-3-nomination,Sourced
Pollster's terms of reference: status,Data needed,pollster's terms of reference,Wiper Patriotic Front secretariat,Figure fig-2-3-nomination,Sourced
Ward-by-ward project record: value,Data needed,"NG-CDF project inventory, verified",NG-CDF Kitui Central,Figure fig-2-8-record,Sourced
"Dr. Mulu: posts per week, median shares, ads live",Data needed,"public pages, Week 1 audit",His team: the Week 1 export,Figure fig-2-9-channels,Sourced
"Irene Kasalu: posts per week, median shares, ads live",Data needed,"public pages, Week 1 audit",His team: the Week 1 export,Figure fig-2-9-channels,Sourced
"Enoch Wambua: posts per week, median shares, ads live",Data needed,"public pages, Week 1 audit",His team: the Week 1 export,Figure fig-2-9-channels,Sourced
"Julius Malombe: posts per week, median shares, ads live",Data needed,"public pages, Week 1 audit",His team: the Week 1 export,Figure fig-2-9-channels,Sourced
"Reach against the vote map: as displayed, or the figure",Data needed,"Meta Insights export, Week 1",His team: the Week 1 export,Figure fig-3-9-audit,Sourced
"Ninety days, coded: as displayed, or the figure",Data needed,"Meta Insights export, Week 1",His team: the Week 1 export,Figure fig-3-9-audit,Sourced
"Which language travels: as displayed, or the figure",Data needed,"Meta Insights export, Week 1",His team: the Week 1 export,Figure fig-3-9-audit,Sourced
"Him against the field: as displayed, or the figure",Data needed,"Meta Insights export, Week 1",His team: the Week 1 export,Figure fig-3-9-audit,Sourced
Test,Data needed,"Meta Insights export, Week 1",His team: the Week 1 export,Figure fig-3-11-evidence,Sourced
"Agro-pastoralist and arid-zone livestock keepers: size, registered voters",Data needed,"KNBS 2019 Census, Volume IV: households keeping livestock",KNBS,Figure fig-4-3-segments,Sourced
"Formal-sector professionals and educators: size, registered voters",Data needed,TSC establishment for Kitui; County Public Service Board staff return,Public-sector employers,Figure fig-4-3-segments,Sourced
"Out-of-county Kamba diaspora: size, registered voters",Data needed,"KNBS 2019 Census migration tables, against the IEBC register by polling station",IEBC,Figure fig-4-3-segments,Sourced
whether the endorsement signature count applies per sub-county or in total,Confirm or edit,Campaign decision,The campaign,Section 6.1,Sourced
USSD shortcode,Confirm or edit,Campaign decision,The campaign,Section 6.3.2,Sourced
"confirm both are held, and whether the shortcode is dedicated or shared",Confirm or edit,Campaign decision,The campaign,Section 5.2.3.3,Sourced
To insert: specified hardware security key model — two keys per critical account holder for redundancy,Placeholder,At contracting,The campaign,Section F.8,Sourced
To insert: baseline audit results — Week 1 deliverable,Placeholder,At contracting,The campaign,Section 5.3,Sourced
To insert: native-speaker developed,Placeholder,At contracting,The campaign,Section 5.4.1,Sourced
To insert: target,Placeholder,At contracting,The campaign,Section 5.4.9,Sourced
"To insert: independent Kenyan qualitative research facilitator; Firefly to recommend, campaign to appoint",Placeholder,At contracting,The campaign,Section 5.6.10,Sourced
Campaign decision required: Decision rights and content approval,Placeholder,Campaign decision,The campaign,Section 5.7.3,Sourced
Campaign decision required: confirmed in the Section 5.7.9 scope memorandum,Placeholder,Campaign decision,The campaign,Section 5.7.5,Sourced
To insert: SLA — recommend 14 days,Placeholder,At contracting,The campaign,Section 5.7.8,Sourced
To insert: named Kenyan data-protection / electoral-law specialist — to be appointed by the campaign,Placeholder,At contracting,The campaign,Section 5.7.9,Sourced
To insert: vendor — selected at contracting,Placeholder,At contracting,The campaign,Section 5.8.7,Sourced
Campaign decision required: anything further the campaign wishes placed outside scope,Placeholder,Campaign decision,The campaign,Section 5.1.3,Sourced
"Verified figure required: Kitui Central holds 77,764 registered voters (Tier 1), but a register count is not a support estimate",Placeholder,Campaign decision,The campaign,Section 4.3,Sourced
"Verified figure required: the Mwingi constituencies hold 200,198 registered voters (Tier 1), which is the ceiling on this universe and not its size",Placeholder,Campaign decision,The campaign,Section 4.3,Sourced
To insert: verified number,Placeholder,At contracting,The campaign,Section 4.4.6,Sourced
"Kikamba review needed: the Kikamba name for each pillar, from the native-speaker reviewer named in Section 6.1. None is invented here, and none should be…",Placeholder,Kikamba reviewer,Kikamba reviewer,Section 4.5,Sourced
"Confirm: against the Week 1 export before this is put in front of him — it must be his actual week, not a characterisation of it",Placeholder,Campaign decision,The campaign,Section 4.5.5,Sourced
To insert: shortcode,Placeholder,At contracting,The campaign,Section 5.2.4.4; Section 5.2.3.3; Section 5.2.1.1; Section 5.2.1.2,Sourced
To insert: sender ID,Placeholder,At contracting,The campaign,Section 5.2.1.2,Sourced
To insert: threshold — recommend 1.5% CTR,Placeholder,At contracting,The campaign,Section 5.2.1.3,Sourced
To insert: additional authentic Kikamba proverbs and phrases — all to be reviewed and corrected by a native speaker before any publication. The examples…,Placeholder,At contracting,The campaign,Section 5.2.1.4,Sourced
To insert: Kenya National Association of the Deaf or an accredited interpreter service,Placeholder,At contracting,The campaign,Section 5.2.1.4,Sourced
